mmsi,vessel_proximity,timestamp
565761000,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-15 00:27:44+00
563014650,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-05 16:30:00+00
564654000,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-12 08:22:53+00
563078430,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-09 05:57:17+00
564780000,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-11 06:35:20+00
538008084,"[538008064, 538008084]",2023-03-19 23:30:00+00
538008064,"[352656000, 538008064, 538008084]",2023-03-14 01:15:37+00
529123000,"[529123000, 518998309]",2023-03-05 16:47:42+00
518998309,"[529123000, 518998309]",2023-03-19 17:52:53+00
352656000,"[352656000, 538008064]",2023-03-05 13:30:00+00
352002300,"[564780000, 565761000, 564654000, 563014650, 352002300, 563078430]",2023-03-14 09:56:16+00
875832716,"[875832716, 232345740, 889799564, 218719092, 232006548]",2023-03-22 17:30:00+00
232006548,"[232345740, 875832716, 889799564, 218719092, 232006548]",2023-03-15 03:30:00+00
232345740,"[232345740, 875832716, 889799564, 218719092, 232006548]",2023-03-21 21:30:00+00
218719092,"[232345740, 875832716, 889799564, 218719092, 232006548]",2023-03-21 11:30:00+00
889799564,"[232345740, 889799564, 875832716, 218719092, 232006548]",2023-03-16 09:30:00+00
898998797,[898998797],2023-03-17 03:30:00+00
